                  ru                   rp                   dr                   yp                    W                    T                    H                    k              epsilon                 Zeta                    f                  muT                    L                    T                   aT                tau_l                tau_t                  q_l                  q_t                   V2
  1.124244502967e-03   5.621222514833e-04   1.124244502967e-03   1.797976359895e+02   2.196259370454e+01   4.448178129065e+02   1.390818345987e+02  1.357821657604e+00   2.600971978806e+00   4.007612600316e-01   4.822866090921e+00   2.300698928192e+01  1.874344246305e-01   5.220439387227e-01  2.706704621402e+01 -6.169370621753e-05  -1.062550582660e-03 -2.915085547076e-06  -1.626591950414e-03  5.441623183996e-01
  2.275082108721e-03   1.699663305844e-03   1.150837605754e-03   1.793881212099e+02   2.196255587808e+01   4.448178219029e+02   1.390817902509e+02  1.357847109070e+00   2.601089783602e+00   4.007527701510e-01   4.822880301188e+00   2.300632220272e+01  1.874322809070e-01   5.220300799884e-01  2.706626141496e+01 -1.865456691133e-04  -3.212780295381e-03 -8.814464792628e-06  -4.918246875798e-03  5.441609904013e-01
  3.453003902895e-03   2.864043005808e-03   1.177921794174e-03   1.789689445179e+02   2.196247752108e+01   4.448178405389e+02   1.390816983848e+02  1.357899831134e+00   2.601333819774e+00   4.007351847112e-01   4.822909735421e+00   2.300494049972e+01  1.874278620296e-01   5.220013746554e-01  2.706463588202e+01 -3.143596050166e-04  -5.413725316154e-03 -1.485382110126e-05  -8.287548969326e-03  5.441582396490e-01
  4.658502788387e-03   4.055753345641e-03   1.205498885492e-03   1.785399287956e+02   2.196235579451e+01   4.448178694896e+02   1.390815556719e+02  1.357981733376e+00   2.601712940652e+00   4.007078692578e-01   4.822955455371e+00   2.300279442249e+01  1.874209818985e-01   5.219567888868e-01  2.706211108528e+01 -4.452021700215e-04  -7.666302977021e-03 -2.103632013187e-05  -1.173591036559e-02  5.441539668721e-01
  5.892073058277e-03   5.275287923332e-03   1.233570269890e-03   1.781008963476e+02   2.196218771929e+01   4.448179094638e+02   1.390813586190e+02  1.358094819184e+00   2.602236443700e+00   4.006701597475e-01   4.823018572186e+00   2.299983196312e+01  1.874115005388e-01   5.218952417691e-01  2.705862583897e+01 -5.791418933063e-04  -9.971431944706e-03 -2.736521822965e-05  -1.526474630064e-02  5.441480681547e-01
  7.154209943880e-03   6.523141501079e-03   1.262136885603e-03   1.776516690596e+02   2.196197017105e+01   4.448179612045e+02   1.390811035627e+02  1.358241189203e+00   2.602914088533e+00   4.006213617524e-01   4.823100247700e+00   2.299599880757e+01  1.873992370192e-01   5.218156042643e-01  2.705411624421e+01 -7.162492790889e-04  -1.233003123921e-02 -3.384386741697e-05  -1.887547368807e-02  5.441404348068e-01
  8.445409137406e-03   7.799809540643e-03   1.291199193526e-03   1.771920685654e+02   2.196169987467e+01   4.448180254909e+02   1.390807866623e+02  1.358423044853e+00   2.603756115561e+00   4.005607496883e-01   4.823201695701e+00   2.299123829073e+01  1.873839698818e-01   5.217166982354e-01  2.704851563616e+01 -8.565969157708e-04  -1.474301919537e-02 -4.047572078195e-05  -2.256950963808e-02  5.441309532401e-01
  9.766166288698e-03   9.105787713052e-03   1.320757151292e-03   1.767219164233e+02   2.196137339889e+01   4.448181031393e+02   1.390804038942e+02  1.358642691916e+00   2.604773265277e+00   4.004875660720e-01   4.823324183153e+00   2.298549135576e+01  1.873655601481e-01   5.215972955546e-01  2.704175453619e+01 -1.000259592637e-03  -1.721131236593e-02 -4.726433822834e-05  -2.634826988663e-02  5.441195048469e-01
  1.111697647560e-02   1.044157138215e-02   1.350810186899e-03   1.762410343024e+02   2.196098715056e+01   4.448181950044e+02   1.390799510444e+02  1.358902544201e+00   2.605976798240e+00   4.004010208133e-01   4.823469031306e+00   2.297869651836e+01  1.873437825475e-01   5.214561173090e-01  2.703376060983e+01 -1.147314424441e-03  -1.973582436369e-02 -5.421339258320e-05  -3.021316712044e-02  5.441059658838e-01
  1.249833364750e-02   1.180765506155e-02   1.381357171906e-03   1.757492441778e+02   2.196053736897e+01   4.448183019810e+02   1.390794237022e+02  1.359205127271e+00   2.607378515753e+00   4.003002905484e-01   4.823637616789e+00   2.297078983662e+01  1.873184399570e-01   5.212918331152e-01  2.702445863131e+01 -1.297840984302e-03  -2.231746464257e-02 -6.132667615614e-05  -3.416560923771e-02  5.440902073612e-01
  1.391073004177e-02   1.320453184464e-02   1.412396394266e-03   1.752463685359e+02   2.196002011988e+01   4.448184250052e+02   1.390788172531e+02  1.359553082240e+00   2.608990781289e+00   4.001845180208e-01   4.823831372572e+00   2.296170488716e+01  1.872893039910e-01   5.211030605589e-01  2.701377045548e+01 -1.451921445288e-03  -2.495713721583e-02 -6.860810772474e-05  -3.820699751813e-02  5.440720949397e-01
  1.535465557260e-02   1.463269280719e-02   1.443925530835e-03   1.747322305894e+02   2.195943128956e+01   4.448185650559e+02   1.390781268718e+02  1.359949169637e+00   2.610826542696e+00   4.000528115171e-01   4.824051788873e+00   2.295137274833e+01  1.872561423210e-01   5.208883647722e-01  2.700161499804e+01 -1.609640731080e-03  -2.765573931127e-02 -7.606173994104e-05  -4.233872468720e-02  5.440514888335e-01
  1.683059719224e-02   1.609262638242e-02   1.475941619639e-03   1.742066545023e+02   2.195876657858e+01   4.448187231562e+02   1.390773475144e+02  1.360396273330e+00   2.612899355210e+00   3.999042443649e-01   4.824300413912e+00   2.293972199119e+01  1.872187918220e-01   5.206462581673e-01  2.698790822493e+01 -1.771086676061e-03  -3.041415996107e-02 -8.369176721841e-05  -4.656217289607e-02  5.440282437227e-01
